rating,name,title,review,date,upvotes,is_certified,iD
1.0,Kulbir,Very dissatisfied With my BB Passport,"Lots of problems with my Blackberry Passport (Just like my previous BB Q10).,1) When I make a call, the receiver of my call cannot hear me clearly,,2) Camera goes out of focus automatically,,3) Very bad WiFi reception,,4) Awful network coverage,,5) Handset Overheard,,6) Battery life very bad,,7) Phone hangs too often,,Biggest problem:,BLACKBERRY CUSTOMER SUPPORT / CARE DOES NOT ANSWER MY CALLS OR REPLY TO MY EMAILS.",24 November 2014,8,Verified Purchase,"""R2PQLRJNP7BZTS"""
4.0,Kamlesh Singh,Four Stars,Best mobile,4 December 2014,0,Verified Purchase,"""R2YX5CKGFXMBPE"""
4.0,Anil Gadi,great funtionality,Either this form will gather acceptance or simply wither away. While really hope it doesn't the chances of it happening are unfortunately quite high,15 November 2014,0,,"""R9P8M35YBNSB7"""
5.0,Prakash A S,Five Stars,excellent,1 April 2015,0,Verified Purchase,"""REDLCGGCIGVUH"""
1.0,Adil,white elephant,"Short review: it is no replacement for either ios or Android or even windows. May be windows.,Here is long list of pros and cons:,Pros... It is surprising in that I have to mention this in 2016 but he call quality is better than iPhone that I have been faithful for last 8 years. I knew iPhone was bad because frequently I had to shout to talk and with each iteration they promised better call quality but delivered nothing.,Call quality is good but not on same class of Nokia 920 that I used for short time in 2013. Unfortunately windows font remains grainy even on high resolution.,Email works. I have been noticing frequent issues with ios gmail sync. No such issues with bb.,I think that's it. Now the long list of cons that mostly is software bugs (I am not talking about apps yet) and also arrogance of company to put cheap parts in expensive product.,Let me cover hardware parts first that should have cost company only few dollars but for some reason they decided to package cheap parts. Remember when apple was struggling they never ever did that.!,- LTE . with nearly 50% of world running on TDD, they decided to skip it. Very pathetic considering that even $100 cellphone has twin sim both supporting LTE.,- battery is not li pol instead it is normal one.,- camera lens cover is plastic and you will get scratches just by cleaning the residue of stickers. Good luck.,- LCD contrast is weak. Certainly not on class of $700 or even $300 phone.,Out of all these I would rate plastic lens cover and no TDD LTE support as deal breaker.,Now the software. If you are concerned about apps the you already are looking at wrong phone.,Here is list of very simple bugs that should have been addresses by company:,- with the amount of real estate used for keyboard they should have designed full fledged one. Alas. Stupid design and all caps letter look equally bad. Small space key is another dumb decision.,- you think you can copy your photo from main mem to sd card? Think again. It will mess up timestamp and all your photos will be jumbled up that you might have taken hours to copy from your previous phone.,- type a password wrong few times and all your content gone. They don't have any option not to do that. Be very careful leaving phone unattended in office as someone can easily wipe everything by typing wrong passwords few times.,- lock time and screen out time is not same. So you have to lock first and then power off LCD. Blah.,- Skype demands Google play services even though it is native app. And I cannot see other party.,- I tried to see how it fares in gaming but the apps from bbw fails to launch.,- even amazon that is preinstalled doesn't work.,- apps are expensive and I paid for few but its quality is pathetic (ftp app and scanner app that business person is supposed to use),- couldn't make navi work.,- business people need to book taxi. Meru cab is native app but it doesn't work.,- I got few Android app but same story there.,Some design issues:,- say you are browsing photo. Keyboard light comes on even though there is no need. That decreases available contrast. As such black area is like that of very cheap LCD screen ie way to bright for black.,- colors are Android like ie red is too red, yellow is too yellow like a windows phone and green is too green. You have to turn color to ""subdued"" and yet it remains super saturated. Makes you want to puke if you are into photo. And no I am not talking about camera. I am talking about same photo that I am seeing with ios, Android and blackberry. Blackberry is same as that of Android and that sucks. I want to see natural color.,Heating problem is there and it does get pretty hot sometimes. Like when I was transferring media from iPhone to this phone.,Overall I cannot see any value in this phone over nokia 3300. Unfortunately most are going for no expansion sd card that is must because people are using smartphone for few years and they have lot of private data that they want to have private control.,Totally avoidable. And yes, keyboard is not same as old blackberry. You should guess that by fewer keys, smaller space and the weight distribution.",3 January 2016,0,,"""RE3X3KF6YNHO"""
4.0,Amazon Customer,Good,Good,18 October 2015,0,Verified Purchase,"""R2017SK3XFQN7W"""
5.0,Amazon Customer,Satisfy,Nice,16 February 2016,0,Verified Purchase,"""R2Y2E2LID8EHUI"""
1.0,aditya suryavanshi,Pros The phone has nice display resolution,"Pros,The phone has nice display resolution.,Blackberry push mail service.,Nice speaker,Cons,Uncommon physical size making it difficult for one hand operation,The screen size is square, which makes it difficult to view full screen videos.,Inspite of 3400 batterry , does not last for a heavy one day use.,There is no back physical or on screen button, the screen has to be made small and then delete it.,Amazing service by amazon, I received a full refund and well one more thing to mention, I had received one with faulty mic.",9 December 2014,4,Verified Purchase,"""RBLMTM9AQOVF7"""
3.0,Jayanthi,I definitely would love to get hold of one as i have been ...,I definitely would love to get hold of one as i have been using BB and Apple together.. but i think the price is too high. would have definitely bought it if it was in the 30K range,19 October 2014,4,,"""R2GKD30QEDJ610"""
3.0,Paresh K Doshi,Good phone. However the software needs to be improved,Good phone. However the software needs to be improved.  It hangs up. Sometimes the call network drops. Battery does not last as long.,30 October 2014,0,Verified Purchase,"""R2SYEITL095ZNT"""
3.0,vinny,Three Stars,not bad,5 January 2015,0,Verified Purchase,"""RZDNJD6A45G1V"""
5.0,A R SRIDHAR,Five Stars,Good,29 September 2015,0,Verified Purchase,"""R8USJ1QDI7QT8"""
5.0,sahil,Five Stars,Good,13 August 2015,0,Verified Purchase,"""R33XABAL7KSTSZ"""
5.0,S.Raj Krishna,Five Stars,Good,14 May 2015,0,Verified Purchase,"""RPY6FRRU4TQNV"""
1.0,Hemant,defective handset delivered,delivered a defective handset. sensors malfunctioning. request to replace the handset,14 January 2015,3,Verified Purchase,"""RCJO8NQEECR7C"""
2.0,zaid,location not working,"I am not able to use any location based app,Bbm showing my location in USA,And there are gaps between the screen and body and keyboard and body,A lot of dust is gathered there,Please replace my phone",14 December 2014,0,,"""RGYOV4XOQU19G"""
5.0,Sanjay M.,Five Stars,gud,9 February 2015,0,Verified Purchase,"""R1I2T4FICGCEKE"""
4.0,Darayes Hormusjee,BB PASSPORT BLACK A WONDER PRODUCT.,4G LTE AWAITED.GOOD DISCOUNT ON PRESENT MODEL 42K A GOOD PRICE.,25 January 2015,0,Verified Purchase,"""R2UY2XPL1MKEKK"""
5.0,tri 1,Its massive and perfect.,Its some thing really different as u move hands u can feel the difference. Its massive and perfect.,15 February 2015,0,Verified Purchase,"""RNOB27K7QWXT5"""
5.0,Saroj Kumar Jha,Five Stars,The Best Business Phone of the World.,13 February 2015,0,Verified Purchase,"""R1LEMACQFTI7SP"""
5.0,Sean,Passport to a Great phone,"I have used both Android and iOS (and briefly a Blackberry many years ago). My last phone was a Moto G which was terrific and before that I owned an iPhone 5. I can say without doubt this is by far my favourite phone. It is superb as a phone, its battery easily lasts me a full working day with juice to spare. The browser is great and snappy. I love the inbuilt FM radio and the Hub. I find the illuminated keyboard invaluable for working on the go at night. I'm starting to use the Blackberry Travel app. BBM for free text and calls is a hit. I have a Rs 5,000 gift voucher from Amazon from the purchase and will shortly get my free JP miles as well.  The Apps stores as other reviewers have noted do have gaps but not enough to cause me any problems and I did not buy this to play games on. I have access to Blackberry World and the Amazon App store. I discovered how to side load Snap which gives me access to the Google App store as well. The keyboard is fantastic and I am zipping through emails and such in the hub. I would fully recommend the phone. Thanks to all who answered questions I asked on Amazon before I purchased it helped in making the change!",7 December 2014,12,Verified Purchase,"""R101C3V63JE4H4"""
5.0,Shashikant Iyengar,Blackberry Passport...It's not a Smartphone... It's a Genius Phone!!,"Big, awkward, very productive, massive battery, unique, eye catching, excellent for seeing spreadsheets.,These are the few thoughts I have about the new BlackBerry  Passport.,When I opened the box I thought ""My god! How am I going to carry this Thing?,Though I had taken out my tape measure to see how big it would be on reading the specs I was still shocked on actually seeing it!,Slowly as I started using it I got used to this mammoth phone.,Setting up this mobile was a breeze.  The key board though is different from the BlackBerry Curve I am used to. A new learning curve here.,But a week on I am loving it. This phone slips easily in the upper shirt Pocket (though it's made for CEOs wearing a suit).,It can be easily carried and I believe that this should not deter us in using this new form factor.,It's a pleasure in using this mobile to see spreadsheets.,You can really Work Wide with the BlackBerry passport. Seeing PPT is also a pleasure. As it has a 3gb RAM big Excel sheets can be opened in a jiffy., Using blackberry for mails and sms was always excellent and the same holds true for BlackBerry passport also.,The concept is HUB is unique and all those using their mobile for business purposes will find this concept Fantastic!!,As usual the notification LED light is the highlight of BlackBerry.,The massive internal memory of 32gb with the option of inserting 128 gb micro SD is the big plus point for storage for those on the go.,As mentioned by all in many reviews you will have to use both the hands. One hand will not do. Though some of the operations are possible with a little practice.,Using this new keyboard requires a bit of practice. But you will love it once you get used to it.,This mobile is also useful for those having Telecons  frequently.,You can dial and minimise the dial up interface. You can at the same time open up spreadsheets, PPTs etc and keep participating in the conference with earphones connected. Everything can be easily minimised and accessed on the screen.,The voice clarity is excellent. You will find it a bit difficult in holding this phone initially while speaking but will get used to it.,Some Dos and Don'ts:,When speaking you will have to hold the phone in such a way that the small speaker is exactly touching the ears. If not placed properly (since its a large phone) the voice clarity may not be good. But if placed properly then the clarity is excellent,You have to download WPS office or Office suit pro as the pre- installed 'Docs to go' does not have the filter options for excel sheets. Hope Microsoft offers the MS office free for BlackBerry also as they are for Android and iOS now.,DO not sync the Hotmail address book. This creates Multiple duplicate entries and the address book slows down massively. Appears to be a Hotmail error. I had to manually delete the entire address book and transfer the address book from my BlackBerry Curve using the Bluetooth. After doing this the problem got resolved.,Security remains a largely compromised area with many mobiles. In today's world we are prone to using mobile devices for online shopping and banking services. Credit cards are used. How can we then ignore the security offered by BlackBerry? All the more the most ignored aspect is built strongly in BlackBerry devices.,What the OS 10 misses out is the facility to forward sms as mail or mail as sms which is available in older OS.,For seeing the images in mail you have to click a small arrow at the right side of the page. A bit irritating. Maybe there is a way out.,BlackBerry passport has OTG facility. A feature less written about.,An excellent phone for those on the move and also those who use their phones for mails / sms.,This device is not for playing junk games like candy crush or subway surfer., The massive battery lasts for 1.5 to 2 days on average use. For me only 70% gets used each day on average to heavy use.,I have penned this entire review on my BlackBerry passport.,It's not a smartphone..... It's a genius phone.",8 November 2014,12,Verified Purchase,"""R3V8E6GS7TL2JC"""
5.0,Shahzoor Ali,Serious Business Powerhouse,"Everybody needs a change. Fashion repeats. So square phones are back! BlackBerry Passport for serious work and style. You will have to get used to this that will take atleast one day and you will love it.,Great pictures in action - http://www.bbin.in/2014/10/blackberry-passport-review/",12 October 2014,22,,"""R1EAGH151X16SO"""
5.0,hiral,its odd for initial day but once you start using passport i bet you will not like any other mobile,iphone 6 you are nowhere near to this beast.....i was using q10 but was hoping for bigger screen and here i got it..its odd for initial day but once you start using passport i bet you will not like any other mobile..#blackberry..u guys came with bang..i am loving it...,9 November 2014,14,Verified Purchase,"""R2J1DUMHXOMFH4"""
5.0,Mustafa,Blackberry Passport: A true masterpiece!,"Blackberry passport is clearly blackberry's best phone till date. I was using Q10 since last 1 year and got my new passport today. At the first glance, it definitely looks weird but as you spend time with it, you will start loving it and now I cannot shift to any other phone! Brilliant screen, premium built, long lasting battery and fast processor makes it the best comeback phone from blackberry. Well done blackberry, you have certainly made your loyal fans proud of your new discovery. Buy it, it's definitely worth it!",15 October 2014,37,Verified Purchase,"""R1A80HH0UDPLPL"""
5.0,Saucy78,The most innovative and effective communication device ever!!,"I just love the big screen, the humongous battery life and the amazing and magical physical  keyboard  (which is sensitive to touch). Add to that the speed of the device and the 10.3 OS. Not to forget the BlackBerry Blend feature... takes a couple of days to get used to the device because of the new keyboard and the size, but once you do, it is a serious productivity beast. Those who use their phones for gaming may not like it as much",10 October 2014,53,,"""R3P580J9SEWG0U"""
5.0,Gurpreet singh Bawa,Professional Phone for Professional People.,"Truly professional phone. If you are a business person or professional then you must grab it. Its an awesome phone by blackberry!,For a powered professionals!! it is the only phone you must have!.",19 October 2014,6,,"""R3M8TQ056FNCN1"""
5.0,kapil,Mean Machine!,"Awesome corporate and business device. If you are looking for top end business phone this is it. Those who want to play games and do mere texts, why even look at such a high end device?,This is not a gimmick/decoration device its for serious business users who value security and want the highest end mean machine.,Bought two of these and dumped recently bought Iphone and Androids which are getting boring and repetitive.,Innovation and designing and speed and security - Pure pleasure!",14 October 2014,20,Verified Purchase,"""R3032OQBAWUTZD"""
4.0,Harish Baskar,Productivity Beast- perfect companion with security,"*Before you opt for a BlackBerry Passport, please be aware of it completely...no one offers the best security better than BlackBerry in the market...,*Security wipe is a time consuming process, don't go for a security wipe unless and untill you are going to return your blackberry passport or going to sell it.,*The resale value of BlackBerry is very low, whereas models like iphone have a better resale value.,*You will most probably receive an os version 10.3.2.2836, my advice is that please don't upgrade it to 10.3.2.2876...because in os version 10.3.2.2876 the battery aspects have been compromised to achieve better device performance.,*os version 10.3.2.2836 has a better battery backup.,* keyboard is awesome, gestures,shortcuts and many more productivity features.,* I have been using BlackBerry Passport for around 10 days, on my first day...I upgraded my os version from 10.3.2.2836 and I did not get the promised legendary battery backup.,*I had a software glitch, which made my passport's keyboard backlight to behave abnormal.,* I opted for a security wipe(factory hardware reset), the process got stuck at 95% for about 12 hours. Thanks to Crackberry forums, I found out a solution to intercept the wiping process, but nearly wasted around 6 Gb of my broadband data, to restore the os version. So, guys have a clear idea about security wipe and os upgrading before you opt for a BlackBerry Passport.,* 3Gb ram is working perfect, out of 32 Gb internal memory,27.62Gb memory will be available,the rest will be consumed by the os itself.,* If you expect more from passport's camera, you are bound to disappointment, though the OIS is good. Camera could have been better.,* No lag in system performance, smooth as butter.,* If you use a headset rather than an original BlackBerry headset, you will face problems in audio section after removing the headset. Example: samsung headset poor compatibility with BlackBerry.,* Display is crisp, no protruding pixels.,* Perfect structure finish, though the device will be little difficult to handle in the initial few days.,* Once you get used to it, you will start loving your BlackBerry Passport.,* Great pleasure for reading, less pleasure for video playback due to 1:1 ratio.,* warranty for this device is 1 year and not 1.5 years as mentioned in other online markets.,* Customer service centres are very less for BlackBerry,Thanks for reading. Good luck!!",28 February 2016,3,Verified Purchase,"""R20I2WCE26QZ3S"""
5.0,Chinmay B.,A flagship to conquer...,"My tryst with Blackberry started after the company started loosing its ground. Not so long ago i was a devout Apple user and Steve Jobs fan. After mocking lots of my friends for using crampy looking keyboard encroaching upon necessary screen space. But i use to like its stability security and simplicity. When blackberry launched Q10 it just could not go unnoticed. And finally i got it and used it as a spare phone. At times during my out-shoar visits (specially south east asia) it worked like a pro and gave me unrestricted access for data and communications. Thats when i became blackberry fan. And then i got my family also converted to blackberry. So it was a natural choice to go for Passport as it was launched.,I have been using this device as my primary driver and also have a iPhone 6 plus (an impulse buy) but there is no competition.,Its class part, the looks, feel, smooth texture , cold hard metal with silk smooth plastic body and natural feel of the keys. Its the perfect marriage of touch screen and keyboard. And what an innovation the touch Keyboard it is. Even Jonathan Ive would go bananas.,People may cry for applications but its and that deficient, specially after android stores available (snap and amazon). Though its not a perfect alliance yet its workable and hopefully improves., Hub is the most addictive and indispensable part of the BBOS. It makes your working easy and well organized.,Top LED is blackberry brainchild and after 10.3.1 upgrade its color customization is a well awaited feature.,The battery life is mammoth - goes on for 2-3 days, depending upon factors such as GPS, android app usage and games. They don't go well with battery life. So if you are using the device for communication with browsing and mails and phone calls, as intended and promoted by Mr Chen, its aces.,Camera is impressive and can be compared with flagships of apple nokia or sony (my personal experience).,Pricing is fair and goodies bundled are very attractive. No complaints for product or the service.",16 February 2015,3,Verified Purchase,"""R2L1GWYK1V9Q3I"""
5.0,Sreeman,BlackBerry and Paasport - A Unique Combination!!!,"This is a unique phone. I am very pleased with the design and build of the phone. I wish I could use it as my office BlackBerry, but BYOD is not allowed for us yet. The size is perfect to read emails and typing is so easy with it. I almost forgot to use my laptop for emails. The Hub, Camera, Keyboard as trackpad, screen resolhtion all are very unique and second to none. Though cost is at the higher end, still if you are a mobile phone freak like me, toy will find a reason to get it!",9 November 2014,2,Verified Purchase,"""R1NFK7GT8ORFGJ"""
5.0,sarat chopra,best productivity phone,"Did not buy this from amazon.,Pros-,Blackberry blend a fantastic way to connect yur phone and computer and to keep working. Transfer data from yur comp to yur phone. All communication on yur desktop,Battery life. Poor android and iphone users. they keep looking for the juice,Cut n paste is phenominal,Track pad,Camera,Speakers,Cons,Not fashionable enough in the world of iphones,Shape for the start but soon used to it",2 January 2015,2,,"""R1RDT0WS4MOCUH"""
5.0,KoolKid,Best smartphone on the market,Fantastic and truly innovative device with amazing battery life and very sharp screen!,22 October 2014,4,,"""R291HN711G0FL4"""
4.0,Amazon Customer,Awesome phone with great and unique features,"I bought BlackBerry Passport on 23 Oct. Firstly, I would appreciate Amazon delivery which delivered my phone within 2 days. Now talking about the phone, it's a great phone with a lot new and great features. The most interesting is its touch enabled keyboard. Another thing which I came to know after a long time was its different LEDs including red,green,blue,yellow,white,cyan,magneta. Its so awesome to see different LEDs for different notifications. It has a great rear camera with a great focus. Some says that it dosent takes good photos in low light. But I dont saw this. The only bad thing I saw is :,1. BlackBerry Assistant is so accurate but it takes a lot of time. Iphone's Siri is a lot faster than this.,2. There are very less apps on native BlackBerry OS. So we have to sideload android apps.,3. Its screen size is totally different from other phones but sometimes it creates the problems. All the APKs have different screen resolutions and doesnt works perfect on this device. Videos are in little bit of small size. It shows black color on top and bottom of videos. But it also have a great advantages like when uploading photos to Whatsapp and Instagram, we do not have to crop the pics.",2 December 2015,0,Verified Purchase,"""R3GIOJHYAEDA5H"""
5.0,amit,Worlds Best Phone,"This is the Worlds Best Phone, i personally used BB Passport for now till 7 months, i had no issues and to be frank , you can crack and install any games , and any application, the android interface is excellent.The main thing for me was battery life and the only phone which can give 3 days Ultimate battery life was this BB Passport , and i have used several phones but nothing like Passport. Its not only good for business Professionals , but for anyone i recommend , especially for college and working professionals and also for those who travel a lot(Why to carry a laptop?? Just use Blackberry Passport - amazing screen display to work and view ), then You can finish lots of work on the go , so i totally recommend anyone to buy and observe the power of Blackberry.Also, this phone has the most sexiest keyboard till date, it took 2 days to get used to , as it was the worlds first touch keyboard interface technology, on a physical board, swiping with the built in dictionary was amazing , once you get used to it , you can shoot a 500 words in 30 secs, yes i tested it personally :D.Another important feature is you can install 3rd party apps like 1mobile app and apptoide , plus you have amazon store and blackberry store, so totally 4 stores with unlimited access.(Also you can install Playstore from Google) :D.,The camera is amazing 13 MP in the back gives you very crisp photos in nice lighting conditions and also during night the HDR is extremely fantastic. The slow-motion camera in 1080 p 60 Frames per second is absolutely stunning. The options for camera is endless .,The Natural Voice Technology built in for speakers is the best in performance for Music ****,BBM Features are Amazing (the worlds best messenger service), you can video call, voice call and now there is Private chat which is an amazing feature, that i haven't seen in any phone, its like you can talk to anyone in your contact list , start your private chat, and it will automatically self destruct in 1 minute, and the best part its not stored anywhere. :D,So overall its the Best of the Best and the king of all PHONES, Nothing can beat its beauty, styling, performance and Freedom.,My rating is 10/10 . :D",10 July 2015,0,Verified Purchase,"""R20GRCI5H3XYN6"""
5.0,Its Not a Phone. It's a Device,Blackberry Passport,"Its an amazing phone. The size and ergonomics of the phone takes a couple of days to getting used but after that it is so smooth. Its not a phone... Its a Device which do things. The physical keyboard is such a beauty. The screen is so good.. everything looks great. Reading emails.. books... browser pages is great. Blackberry hub brings a different meaning to integration.. Whats App is integrated with hub hence fun to use. One of the things which I didnt expected and found it surprisingly fantastic was playing games and that too heavy graphic games like the Mortal Combat 5 - Black Out. It runs so smooth and playing it on a big screen is an experience. In short I am in love with this device. Rest everythng else like call clarity.. Speaker phone clarity is great. BB10 has matured . And you can find almost 80% of the apps you use on a daily basis on the Blackberry App world and the Amazon APP Store. For the rest of them you can anytime download SNAP and get hold of the Android Apps. Havent tried it though, will do it soon.",9 April 2015,0,,"""RM1X8GSBC6UWZ"""
4.0,Sameer Hakim,never really liked it. What now,"Buying process:,Had unlimited options, but limited requirement. Wanted to buy the iPhone 6, but after truly understanding that Apple charges you for brand, UI and nothing else, changed my mind (hardware, will get obsolete with a year). Then took a look at the Motorola X. It gives you the added benefit of using the Moto 360 seamlessly. But having used a Moto G, never really liked it. What now?,Deciding factor:,Having owned a Samsung S3 and experiencing the performance degradation, never again. Was checking for phones a few months back and found the Blackberry Passport. Liked the design (not for everyone, but yes, captures everyone' attention). Did my homework well, basis my requirements bingo, Blackberry Passport it was.,Shopping Experience:,Best price? Not on Amazon, but yes, it' the only site which give you next day delivery. Buying experience was a little bumpy as I had some issues completing the payment experience. But not a game changer. Still went ahead and ordered.,Delivery:,The very next day (Period),Experience So Far:,Wonderful. Can do a lot with the screen space (yes even with the 1:1 aspect ratio). UI is great, specially with the touch gestures. Excels, PowerPoint, Mail, eBooks all easy and simple to use/ read/ edit. Apps? Productivity apps can be easily downloaded off the BBM app store or the Amazon store. Works well, no issues here.,Verdict:,If work comes first, buy it. Do not look anywhere else. Definitely recommended.,One problem, that all I need to change my mind.. (for those who want),Two hands, needed for usage. If you can't, go for something else (required even for typing).,Learning cover, not for everyone. If you want a easy to use phone buy the iPhone.",3 April 2015,0,Verified Purchase,"""R1ZMBCRW5XZ523"""
5.0,Jag,Excellent smartphone strictly for professionals and not casual users,"I got this expensive higher end phone being a doctor wanting to get things done fast. Initially it was difficult to adapt to the design and the gestures, as people used to android or ios might feel it uncomfortable initially. After about 2 weeks of usage, I realized i was being trained to fly a jet. The phone gives an extraordinary fast performance and swift typing with it's qwerty touch enabled keyboard and advanced adapting/ learning capacity of blackberry. The words i wish just stand up there and need just a flick to be passed onto the keyboard. This is my 4th week of usage and I am extremely happy to have a powerful no lag machine, which increases in beauty as u use it, whilst other phones lose them as u use. Everybody knows the specs r powerful, some China phones even though claim powerful specs r no use when actual handling come fore when BB is unmatchable. Nobody regrets buying this I guess,Pros,1.Speed,2.clear screen,3.Touch sensitive Qwerty,4.BB hub which has all accounts be it mails, whatsapp, FB or others in a single place,5.Premium finish and design,6.Powerful Battery,7.Voice and Microphone clarity,8.Security,Cons,1.Takes time to adapt and get adjusted, if u can wait,2.Though many common ones are there, Some useful apps not available in BB world or Amazon app store from where u download like Viber, FlipKart mobile app, ...etc (BB should seriously get all important apps at the earliest),3.Accessories were difficult to get, but finally got a beautiful imak case,4.Cant keep in pocket, u need a pouch,5.A bit heavy (not too much to detest),6.You need a big palm to hold the phone, I sincerely advise those with smaller hands never to buy, they will regret,7.Sound could have been better, Lenovo s dolby is better ( though lenovo has a whole lots of negatives which BB does not have),8.BB maps has no traffic information for India,It a powerful machine apt for professionals and serious people. May not be suitable for teens and college students or less busy ones",13 January 2015,0,,"""R22YEHYDHWXY55"""
5.0,Shravan Raskar,Five Stars,Amazing mobile,18 October 2014,6,,"""R12HJISG3JE60Q"""
5.0,Prem Kumar Singh,excellent phone to work,I am very old user of BlackBerry phones it's almost 11 years now and after purchasing my BlackBerry passport I am so happy which I can't express in words. It's an ultimate and my dream phone having all required apps which any business user as well as the medical Doctors can use. All best wishes to BlackBerry for making such wonderful phone for Business users. I am highly impressed and satisfied.,9 November 2014,2,,"""R1FO6S0GQ0M4KV"""
5.0,Amazon Customer,Five Stars,excellent,26 May 2016,0,Verified Purchase,"""R15Y5ZFYQDEVVI"""
4.0,Vijay Jetty,Almost Perfect !!,"Everything is just perfect. Performance is phenomenal. The only drawback is you can't operate with one hand unlike other blackberry i owned in past (curve 9220, bold, torch, q5, z10, etc). It's the size of an actual government issued passport booklet.",11 April 2015,0,Verified Purchase,"""R3T255IC40P0EH"""
5.0,the buyer,"NO compromise, we do go first beating everything.","One amazing Product !!,Love it !!,If you aren't even a BB customer before, well this is the chance to be one and Passport is very much good option to start with and to last with.",13 November 2015,0,Verified Purchase,"""R24MSVNP0OJX9X"""
4.0,ZeusQuad Reviews,Good,It's not the cutest and trendy phone but worth buying BlackBerry been my dad's favorite for years now I really know why Handel's huge traffic smoothly and no harsh lag or jams,26 October 2015,0,,"""R1CVBM19SYLR4U"""
1.0,Karthik,wireless printing option.,"In blackberry 10 OS phones we can't PRINT documents, pdf, webpage, e-mails directly from phone to wifi printer...,NO PRINTING OPTION IN BLACKBERRY 10 OS phone..,On top of that blackberry phones are made for business people 😆😆😆😝😝😝😡,FUNNY PHONE😆",8 June 2015,3,,"""R34ZD1QBKCGQ5L"""
5.0,jagadeesh,perfect beauty,Great piece of engineering marvel. Takes five days to get used to. Great phone for great people. BlackBerry passport has replaced my laptop completely,2 May 2015,0,,"""REV93LV17V0R8"""
2.0,ranvir singh,Would like to suggest,"I purchased BB Passport in November,2014 & in December 2014 after one month device suddenly switched off  because of software issue.,Would like to suggest, think before to purchase this device. I verified from BlackBerry  third party service center ( as in India no BB owned support centers available) that this issue persists in many devices till date.,Also BlackBerry has no ethical customer support center for Indian operation. You can call on these service center number  18004253720 or 18004253720 & you will be lucky if any attend your call.  - Worse customer support for Indian operation.,This device is failed to perform against BlackBerry  claimed promotional agenda.",13 January 2015,4,Verified Purchase,"""R2OM56J8AFJHGC"""
5.0,Mohan Suvarna,Five Stars,Great,16 October 2015,0,Verified Purchase,"""RVWTCXD40WG63"""
3.0,its your luck,its your luck!!!,"Just a short summary,Unparalleled Hardware,Better than any phone in looks,Catches the eye of everyone,Pathetic Software,Lags,Technical glitches,Atleast what u r providing, provide it glitch free,I still love BlackBerry Passport over any other phone but it is my hard luck I can't continue to use this phone,I have retuned this phone .,I ll go for a Nexus 6p",23 January 2016,0,Verified Purchase,"""R2BC9NV6COP83R"""
3.0,Rohit pathak,Three Stars,"Package came with just one charger, as opposed to the three chargers claimed in all articles on the internet",20 July 2015,0,Verified Purchase,"""R266WOL67PGCRW"""
5.0,Ashish,Great for business use,"Exactly the phone I was looking for. The screen size is large enough to help me work with the documents. The typing is slightly different from my previous BB Bold, but the learning curve is not very high. I have already adapted to it in less than a week. Blend is awesome, makes life easy to manage my documents. I have been feeling the need to use my laptop lesser and lesser...",16 February 2015,2,Verified Purchase,"""R1HBWO0BP1GPEH"""
5.0,Mohammed,"Classic, with a brilliant video quality..","Classic... Big hand for the phone needed with slim and sexy fingers for buttons..,If u had not experienced blackberry phone its time for it. And old blackberry customers its time for upgradation. :P :')",12 October 2014,13,,"""R3W39T0DWJE2ZF"""
5.0,Ajay Khanna,"been using BlackBerry device for last eight years amongst my fev bold, torch, Q10, Z30 and now BlackBerry passport. Awesome!","been using BlackBerry device for last eight years amongst my fev were bold, torch, Q10, Z30 and now BlackBerry passport. Awesome! Simply the best..!",25 November 2014,3,,"""R27PJQ47RJ1WBQ"""
5.0,Amazon Customer,The passport is a power house to deliver intelligent device from blackberry,"The passport is a power house to deliver intelligent device from blackberry, and their user interface of 10.3.1 is quite good, if we talk about switching between applications no operating system is near the bb 10, just thumb use n u can switch over tha application, marvellous. If we talk about passport its best backup near about 10-11 hours continues browsing over 3g. Best but  squarish display 442 ppi so crispy, with gorilla 3 protection.the Ferrari type processor so that u don't have wait for anything. Superior connectivity 4g lte but indian band (40) not available . Best ever camera 📷 from bb. N really really really great typo qwerty with sense.. N everything what u can expect ,but there one thing its weight n size thus u can not operates single hand, ever never.... Otherwise its a throttle....",18 June 2015,0,Verified Purchase,"""R1OOZZUF5YZYTS"""
5.0,Virendra Thakur,An amazing experience!,"Excellent phone. An amazing experience using the BlackBerry Passport. BlackBerry should go a step ahead & launch a full touch screen phone in the same form factor, a few improvements in specifications would help attract more end users. I love the BlackBerry Passport.",5 December 2014,2,Verified Purchase,"""R25LWT9LV4ZVI"""
5.0,Ashu D.,Five Stars,I like this phone,30 October 2014,5,Verified Purchase,"""R3IMHUZ6EULYU6"""
5.0,meets the purpose,WOW v good after sales support and as always v good phone,"I have been using this phone from last 9 months. If your are serious about your communications requirements like emails, BBM, WHATSAPP ETC. This is the phone. Battery  last for the whole day easily with heavy usage.,The phone is little broad but fits your pockets.,Not advised for single hand use for typing.,Love BlackBerry interface, so user friendly.,In summer due to heavy sweating. There was issue with the front camera. They replaced my phone in just 3 business days with a brand new one.,Cameras are good and so continent to write emails and to read.",18 June 2015,0,,"""R19W120XYAGED"""
